"inicio","fim","id_eqipamento","id_estado","id_operador"
2021-07-31 12:08:26,2021-07-31 12:12:06,72581134,72607316,72581091
2021-07-31 12:12:06,2021-07-31 12:49:49,72581134,72606938,72581091
2021-07-31 12:49:49,2021-07-31 13:35:32,72581134,72607316,72581091
2021-07-31 13:35:32,2021-07-31 13:47:16,72581134,72606938,72581091
2021-07-31 13:13:27,2021-07-31 13:54:26,72581150,72607342,72581090
2021-07-31 13:47:16,2021-07-31 14:00:59,72581134,72607316,72581091
2021-07-31 14:00:59,2021-07-31 14:07:40,72581134,72606938,72581091
2021-07-31 13:54:26,2021-07-31 14:13:29,72581150,72793172,72581090
2021-07-31 14:10:26,2021-07-31 14:13:36,79204469,73031722,72581080
2021-07-31 14:07:40,2021-07-31 14:15:26,72581134,72607316,72581091
2021-07-31 13:52:54,2021-07-31 14:15:51,72581114,72607275,72581104
2021-07-31 14:13:29,2021-07-31 14:17:47,72581150,72607342,72581090
2021-07-31 13:51:58,2021-07-31 14:27:29,79204442,72793172,72581100
2021-07-31 14:15:51,2021-07-31 14:29:34,72581114,72607608,72581104
2021-07-31 14:15:26,2021-07-31 14:36:38,72581134,72606938,72581091
2021-07-31 14:36:38,2021-07-31 14:39:49,72581134,72607316,72581091
2021-07-31 14:39:49,2021-07-31 14:50:03,72581134,72606938,72581091
2021-07-31 14:29:34,2021-07-31 14:59:33,72581114,72607275,72581104
2021-07-31 14:52:10,2021-07-31 15:00:03,72581144,72607608,72581097
2021-07-31 15:00:03,2021-07-31 15:09:42,72581144,72606938,72581097
2021-07-31 10:05:00,2021-07-31 15:16:16,72581156,72871243,72581095
2021-07-31 14:17:47,2021-07-31 15:17:31,72581150,72871152,72581090
2021-07-31 15:16:16,2021-07-31 15:18:39,72581156,72607411,72581095
2021-07-31 14:27:29,2021-07-31 15:24:23,79204442,72606938,72581100
2021-07-31 12:58:23,2021-07-31 15:29:22,72581142,72607342,72581092
2021-07-31 14:50:03,2021-07-31 15:30:47,72581134,72871152,72581091
2021-07-31 14:59:33,2021-07-31 15:44:13,72581114,72871152,72581104
2021-07-31 15:09:42,2021-07-31 15:48:33,72581144,72871152,72581097
2021-07-31 15:18:39,2021-07-31 15:56:11,72581156,72607342,72581095
2021-07-31 15:30:47,2021-07-31 16:18:21,72581134,72607316,72581091
2021-07-31 16:18:21,2021-07-31 16:40:53,72581134,72606938,72581091
2021-07-31 15:24:23,2021-07-31 17:02:06,79204442,72871152,72581100
2021-07-31 15:48:33,2021-07-31 16:25:19,72581144,72606938,72581097
2021-07-31 16:25:19,2021-07-31 16:33:40,72581144,72607608,72581097
2021-07-31 15:55:38,2021-07-31 16:41:30,72581152,72871152,72581082
2021-07-31 15:44:13,2021-07-31 16:49:09,72581114,72607275,72581104
2021-07-31 16:49:09,2021-07-31 16:49:12,72581114,72606938,72581104
2021-07-31 16:49:12,2021-07-31 16:52:06,72581114,72607316,72581104
